Theme Id,Theme Name,Defination,Keywords,Status,Objective Count,Original Statements
550e8400-e29b-41d4-a716-446655440005,Parental Attitudes and Socio-Cultural Barriers,"This theme captures responses where parental beliefs, family mindsets, and cultural norms discourage girls from attending school. It includes attitudes such as prioritizing domestic roles for girls, believing education is unnecessary for them, concerns about dowry increasing with higher education, or long-standing traditions that limit girls' mobility and learning opportunities. These socio-cultural factors collectively shape decisions that keep girls out of school.","Discrimination,cultural beliefs,social pressure,not allowed,marriage,dowry,take care of siblings,girls do not need to study,girls run away,speak foul language",approved,469,15 | To promote girls' education in rural areas of Rohtas district | 0.5691
,,,,,,22 | To empower girls through education and create awareness about its importance | 0.6264
,,,,,,116 | To promote girls education in Rohtas district by organizing workshops and community events | 0.5509
,,,,,,40509 | To educate girls and provide them with equal opportunities for education | 0.6284
,,,,,,17101 | To educate parents about the importance of girls' education | 0.6518
,,,,,,28517 | To educate girls till 12th standard | 0.5704
,,,,,,5014 | To change parental attitudes that favor boys over girls in education | 0.6632
,,,,,,28655 | To improve education for teenage girls by encouraging them to complete their studies till class 12 | 0.5993
,,,,,,28519 | To educate girls and empower them through education | 0.6108
,,,,,,22035 | To encourage teenage girls to continue their education beyond 10th class | 0.6437
,,,,,,28634 | To empower girls through education and make them independent | 0.6081
,,,,,,4282 | To educate girls at least till 12th standard and marry them after 18 years of age | 0.603
,,,,,,14939 | To empower girls through education and make them independent | 0.6081
,,,,,,6689 | To encourage parents to educate their daughters and help them overcome hesitation in speaking in front of others | 0.6092
,,,,,,28635 | To empower girls through education and encourage them to pursue higher studies | 0.6403
,,,,,,7321 | To encourage teenage girls to pursue education and empower them for a better future | 0.6649
,,,,,,4074 | To increase girls' enrollment in school by educating parents about the importance of education for girls | 0.6303
,,,,,,28536 | To empower girls and women in the community by highlighting the importance of education and encouraging them to pursue their studies beyond the 9th standard | 0.6519
,,,,,,4027 | To raise awareness about the importance of education in underprivileged communities and empower girls to pursue their educational goals | 0.6509
,,,,,,28603 | To empower girls through education and create awareness about its importance in the community | 0.6961
,,,,,,28540 | To educate adolescent girls in the village and empower them through education | 0.5961
,,,,,,3907 | To educate girls and improve their socio-economic status | 0.6391
,,,,,,28604 | To empower girls through education and make them self-reliant | 0.6153
,,,,,,15007 | To empower girls through education and ensure they get married at a suitable age | 0.6653
,,,,,,3880 | To improve girls education in the community | 0.7166
,,,,,,3881 | To empower girls through education and raise awareness about their rights | 0.6453
,,,,,,"6804 | To educate girls in Bakri village by informing their parents about government schemes and facilities, and encouraging them to send their children to school | 0.6021"
,,,,,,15408 | To solve the problem of girls not going to school and guardians not paying attention to it | 0.6396
,,,,,,3761 | To empower girls through education and raise awareness about its importance in the community | 0.694
,,,,,,4046 | To educate girls and make them aware of the importance of education | 0.6047
,,,,,,15039 | To get girls to attend school | 0.5833
,,,,,,28546 | To empower girls through education and support their continued learning | 0.6492
,,,,,,15449 | To empower girls to become self-reliant through education | 0.6444
,,,,,,28455 | To educate parents about the importance of equality and not allowing discrimination between boys and girls | 0.6889
,,,,,,40469 | To empower girls through education by providing them with opportunities to study beyond the 5th standard | 0.6551
,,,,,,28612 | To empower girls through education and help them overcome obstacles | 0.6628
,,,,,,26290 | To educate girls from poor families in Shivhar | 0.5535
,,,,,,"5846 | To educate parents about the importance of education for their children, regardless of gender, and to encourage them to send their children to school on time. | 0.5509"
,,,,,,28615 | To empower girls through education and make them self-reliant | 0.6153
,,,,,,41559 | To empower girls through education and make them aware of the importance of education | 0.6348
,,,,,,40564 | To educate girls and make them aware of the importance of education | 0.6047
,,,,,,40568 | To educate girls in the community by changing the old thinking of parents | 0.5806
,,,,,,40571 | To empower girls through education and create awareness about its importance | 0.6264
,,,,,,41580 | To raise awareness about the importance of education among girls and their families | 0.6255
,,,,,,40576 | To increase awareness about the importance of education among girls in the community | 0.6685
,,,,,,41583 | To raise awareness about the importance of education among adolescent girls and their parents | 0.6198
,,,,,,28616 | To empower women and children through education and raise awareness about its importance | 0.5755
,,,,,,41587 | To help girls get admitted to school and receive proper education | 0.5932
,,,,,,41593 | To promote girl education and create awareness about the importance of education in the community | 0.648
,,,,,,41605 | To educate girls and make them understand the importance of education | 0.6084
,,,,,,40598 | To encourage parents to educate their girls by telling inspirational stories and discussing the children's right to education | 0.577
,,,,,,40604 | To educate girls and empower them through education | 0.6108
,,,,,,28617 | To educate girls and empower them to build a better future for themselves and their children | 0.5664
,,,,,,41633 | To encourage girls to continue their education and empower them to succeed in life | 0.6634
,,,,,,"40625 | To empower girls in the village panchayat to make their own decisions and take control of their lives through education, preventing child marriage | 0.5985"
,,,,,,40629 | To empower girls through education and make them aware of its importance | 0.6224
,,,,,,41655 | To promote girl education and empower them to pursue their dreams | 0.6462
,,,,,,41656 | To improve education in Sitamarhi by enrolling girls in school and making them understand the importance of education | 0.5769
,,,,,,41657 | To promote girl child education and empower them through education | 0.6215
